name,year_first_produced
Mi-8 transport helicopter,1961
Mi-8MTPR-1 electronic warfare helicopter,1980
Mi-24P attack helicopter,1981
Mi-24V/P/35M attack helicopter,1976
Mi-35M attack helicopter,1976
Mi-28 attack helicopter,1982
Ka-52 Alligator attack helicopter,1997
Unknown helicopter,
Orion,2020
Korsar,2015
Forpost-RU,1998
Mohajer-6,2018
Orlan-10 UCAV,2011
Eleron T-16,2011
Forpost,
Orlan-10,2011
Orlan-10 jamming UAV,2011
'Orlan-20' ''Kartograf'',
Orlan-30,2020
Granat-3,
Granat-4,
Eleron-3,
Eleron-3SV,
Eleron-10,
Eleron T28ME,
Takhion,
ZALA 421-16E,
ZALA 421-16EM,
Merlin-VR,
Lastochka-M,
Supercam S150,
Supercam S350,
Grifon-12,
Project 1164 Slava-class guided missile cruiser,1979
Project 636.3 Improved Kilo-class submarine,1980
Project 03160 Raptor-class patrol boat,2013
Project 02510 BK-16E high-speed assault boat,
Project 640 small patrol boat,
Project 1171 Tapir-class landing ship,1965
Project 775 Ropucha-class landing ship,1974
Project 11770 Serna-class landing craft,1994
Project 22870 rescue tug,
Project 266M Natya-class minesweeper,1970
GAZ-51,1946
GAZ-66,1964
KrAZ-255B,1967
KrAZ-255B tanker,1967
KrAZ-260 tanker,1964
ZiL-131,1964
ZiL-131 tanker,1964
2F77M transloading vehicle for 2K22M Tunguska-M,
9T217 transloader (for 9K33 Osa),1971
9T244 transloader (for 9A330/1 Tor),
Truck-based support equipment (for S-400),2007
GAZ-3308,1997
GAZ Sobol,1998
Ural-375D,1961
Ural-375D tanker,1961
Ural-4320,1977
Ural-4320 tanker,1977
Ural Avtozaks,
Ural-43206,1977
Ural Federal,
Ural-5323,1989
Ural-63704-0010 Tornado-U,2014
Ural-542301 tank transporter,
Ural-63501-AT,
MAZ TZ-500 tanker,
MAZ 531605 tanker,
KamAZ 4x4,
KamAZ 6x4,
KamAZ 6x6,
KamAZ 6x6 tanker,
KamAZ 8x8,
KamAZ Avtozaks,
KamAZ-5350 with armoured cabin,2003
KamAZ with MM-501 armoured cabin,
KamAZ-6350 8x8 artillery tractor,2003
KamAZ tank low-loader,
KamAZ 'Gorets' 3958,
Civilian KamAZ 6x6 converted for military use,
UAZ-469 jeep,1971
UAZ-452 van,1965
UAZ-3303,
LuAZ-969,1961
UAZ Patriot jeep,2005
UAZ-3151,1985
UAZ-31514,1985
UAZ-23632 pickup truck,
UAZ-23632-148-64 armed pickup truck,
UAZ-394511 ,
UAZ-515195 'Esaul',
UAZ-39094,
Unknown fuel tanker,
(Unknown) truck,
(Unknown) vehicle,
