id,name,type,status,manufacturer,manufacturer_abbr,user,user_abbr,image_proof_link,image_proof_link_direct,year_first_produced,confirmed_lost_date
4275,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1557655485456719872,https://twitter.com/UAWeapons/status/1557655485456719872,1970.0,
4276,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1557684866266939392,https://twitter.com/UAWeapons/status/1557684866266939392,1970.0,
4277,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/G90HDCsq,https://i.postimg.cc/G90HDCsq/1003-Kam-AZ-truck-mtlb.jpg,1970.0,
4278,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1558891446144565250,https://twitter.com/UAWeapons/status/1558891446144565250,1970.0,
4279,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/tgGrmTXG,https://i.postimg.cc/tgGrmTXG/1016-MT-LB-destr-25-03-24.jpg,1970.0,2024-03-25
4280,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/QCGRjz0H,https://i.postimg.cc/QCGRjz0H/1015-mtlb.jpg,1970.0,
4281,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/jqDGwdXy,https://i.postimg.cc/jqDGwdXy/1009-mtlb-destr-30-10-23.jpg,1970.0,2023-10-30
4282,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/yYjcTw9v,https://i.postimg.cc/yYjcTw9v/76.png,1970.0,
4283,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/RALee85/status/1561806644543094784,https://twitter.com/RALee85/status/1561806644543094784,1970.0,
4284,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/PxXR92jd,https://i.postimg.cc/PxXR92jd/2022-09-23-MT-LB.jpg,1970.0,
4285,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1566165635507408896,https://twitter.com/UAWeapons/status/1566165635507408896,1970.0,
4286,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1566166372069134338,https://twitter.com/UAWeapons/status/1566166372069134338,1970.0,
4287,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3JHkr9Xx,https://i.postimg.cc/3JHkr9Xx/1016-mtlb.jpg,1970.0,
4288,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/YSxJ51ZJ,https://i.postimg.cc/YSxJ51ZJ/3337.png,1970.0,
4289,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1569335718853640195,https://twitter.com/UAWeapons/status/1569335718853640195,1970.0,
4290,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/nLV8FkKD,https://i.postimg.cc/nLV8FkKD/1001-mtlb-destr.jpg,1970.0,
4291,MT-LB,Armored Fighting Vehicles,captured and later destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/zfR1wLP0,https://i.postimg.cc/zfR1wLP0/3d.png,1970.0,
4292,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/JzGgQ9gs,https://i.postimg.cc/JzGgQ9gs/1000-mtlb-2x.jpg,1970.0,
4293,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3JLVmKLM,https://i.postimg.cc/3JLVmKLM/1028-mtlb-2x.jpg,1970.0,
4294,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3JLVmKLM,https://i.postimg.cc/3JLVmKLM/1028-mtlb-2x.jpg,1970.0,
4295,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1569647344282378240,https://twitter.com/UAWeapons/status/1569647344282378240,1970.0,
4296,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/jdVP6gFW,https://i.postimg.cc/jdVP6gFW/1004-mtlb.jpg,1970.0,
4297,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1570506077929877504,https://twitter.com/UAWeapons/status/1570506077929877504,1970.0,
4298,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1570506077929877504,https://twitter.com/UAWeapons/status/1570506077929877504,1970.0,
4299,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1570427754566324225,https://twitter.com/UAWeapons/status/1570427754566324225,1970.0,
4300,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/sxTRRJ3g,https://i.postimg.cc/sxTRRJ3g/2022-09-14-307095797-3212297189018838-4688457807291624709-n.jpg,1970.0,
4301,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/d3k4HXL6,https://i.postimg.cc/d3k4HXL6/2022-09-29-MT-LB.jpg,1970.0,
4302,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/g2NvRCZs,https://i.postimg.cc/g2NvRCZs/2022-09-18-MT-LB-2.jpg,1970.0,
4303,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1572155780698341376,https://twitter.com/UAWeapons/status/1572155780698341376,1970.0,
4304,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1572332220697948161,https://twitter.com/UAWeapons/status/1572332220697948161,1970.0,
4305,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1573414860775624704,https://twitter.com/UAWeapons/status/1573414860775624704,1970.0,
4306,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/C5RgtJGf,https://i.postimg.cc/C5RgtJGf/1003-mtlb.jpg,1970.0,2022-09-24
4307,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1574379264819941376,https://twitter.com/UAWeapons/status/1574379264819941376,1970.0,
4308,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1574379264819941376,https://twitter.com/UAWeapons/status/1574379264819941376,1970.0,
4309,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1576130135262040065,https://twitter.com/UAWeapons/status/1576130135262040065,1970.0,
4310,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/naalsio26/status/1576664189074305025,https://twitter.com/naalsio26/status/1576664189074305025,1970.0,
4311,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/J4W0qnhN,https://i.postimg.cc/J4W0qnhN/1006-mtlb-destr.jpg,1970.0,
4312,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/pLvbFhyZ,https://i.postimg.cc/pLvbFhyZ/2022-04-10-MT-LB.jpg,1970.0,
4313,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1577257323927511041,https://twitter.com/UAWeapons/status/1577257323927511041,1970.0,
4314,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3xF5Q6Gh,https://i.postimg.cc/3xF5Q6Gh/1000-mtlb-destr.jpg,1970.0,
4315,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/4yFCkNNL,https://i.postimg.cc/4yFCkNNL/1014-mtlb-destr.jpg,1970.0,
4316,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/cHQqbYR7,https://i.postimg.cc/cHQqbYR7/1002-mtlb-destr.jpg,1970.0,
4317,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/XqMWxnwf,https://i.postimg.cc/XqMWxnwf/1110-MT-LB-destr-09-07-22.jpg,1970.0,2022-07-09
4318,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/J7X6TCR6,https://i.postimg.cc/J7X6TCR6/MT-LB-Izium.png,1970.0,
4319,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/qqKv01z9,https://i.postimg.cc/qqKv01z9/2022-03-27-MT-LB.jpg,1970.0,2022-03-27
4320,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/xq7kNwj0,https://i.postimg.cc/4N4pqGrh/1000-mtlb-destr-27-02-23.jpg,1970.0,2023-02-27
4321,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/Pqd0PhP5,https://i.postimg.cc/Pqd0PhP5/1002-mtlb-destr.jpg,1970.0,
