id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
39,T-62M,Tanks,destroyed,26,5,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/3Js826nn,1983,https://i.postimg.cc/3Js826nn/1012-T-62-M-destr-26-05-23.jpg,26/5/2023
40,T-62M,Tanks,destroyed,1,6,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Gmr6pZ4Y,1983,https://i.postimg.cc/Gmr6pZ4Y/1001-t62m-destr-01-06-23.jpg,1/6/2023
41,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1566557906593615873,1983,https://twitter.com/UAWeapons/status/1566557906593615873,
42,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1566557906593615873,1983,https://twitter.com/UAWeapons/status/1566557906593615873,
43,T-62M,Tanks,destroyed,9,11,22,Soviet Union,USSR,Russia,RU,https://postimg.cc/Dw3GQ3mg,1983,https://i.postimg.cc/Dw3GQ3mg/1026-T-62-M-destr-09-11-22.jpg,9/11/2022
44,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1674811978408132611,1983,https://twitter.com/UAWeapons/status/1674811978408132611,
45,T-62M,Tanks,destroyed,1,4,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/QC5sJ3t7,1983,https://i.postimg.cc/QC5sJ3t7/1074-T-62-M-destr-01-04-24.jpg,1/4/2024
46,T-62M,Tanks,destroyed,,,,Soviet Union,USSR,Russia,RU,https://postimg.cc/PxJhBdpT,1983,https://i.postimg.cc/PxJhBdpT/46.png,11/8/2023
47,T-62M,Tanks,destroyed,2,10,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Dy4T0m9T,1983,https://i.postimg.cc/Dy4T0m9T/1045-T-62-M-destr-02-10-23.jpg,2/10/2023
48,T-62M,Tanks,destroyed,29,11,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Hsm7xWy2,1983,https://i.postimg.cc/Hsm7xWy2/1011-t62m-destr-29-11-23.jpg,29/11/2023
49,T-62M,Tanks,destroyed,9,1,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/qMV8j4c4,1983,https://i.postimg.cc/qMV8j4c4/1039-t62m-destr-09-01-24.jpg,9/1/2024
50,T-62M,Tanks,destroyed,29,1,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/Jng1mWHk,1983,https://i.postimg.cc/Jng1mWHk/1021-T-62-M-destr-29-01-24.jpg,29/1/2024
51,T-62M,Tanks,destroyed,29,1,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/mgGgtRX3,1983,https://i.postimg.cc/mgGgtRX3/1022-T-62-M-destr-29-01-24.jpg,29/1/2024
52,T-62M,Tanks,destroyed,29,1,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/jSQdf9mp,1983,https://i.postimg.cc/jSQdf9mp/1023-T-62-M-destr-29-01-24.jpg,29/1/2024
53,T-62M,Tanks,destroyed,12,2,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/Jz37Mw8R,1983,https://i.postimg.cc/Jz37Mw8R/1037-t62m-destr-12-02-24.jpg,12/2/2024
54,T-62M,Tanks,destroyed,6,2,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/q7Znqz75,1983,https://i.postimg.cc/q7Znqz75/1026-1x-destr-2x-dam-aband-T62-M-06-02-23.jpg,6/2/2023
55,T-62M,Tanks,destroyed,11,2,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/QCz881h8,1983,https://i.postimg.cc/QCz881h8/1020-T-62-M-destr-11-02-23.jpg,11/2/2023
56,T-62M,Tanks,destroyed,18,4,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/kgtWhdNy,1983,https://i.postimg.cc/kgtWhdNy/1054-t62m-destr-18-04-24.jpg,18/4/2024
57,T-62M,Tanks,destroyed,22,4,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/bwjW4qxb,1983,https://i.postimg.cc/bwjW4qxb/1111-T-62-M-destr-22-04-24.jpg,22/4/2024
58,T-62M,Tanks,destroyed,21,4,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/3RSGbCC9,1983,https://i.postimg.cc/3RSGbCC9/1004-T-62-M-destr-21-04-24.jpg,21/4/2024
59,T-62M,Tanks,destroyed,30,11,22,Soviet Union,USSR,Russia,RU,https://postimg.cc/sxbh3jLh,1983,https://i.postimg.cc/sxbh3jLh/1023-T-62-M-destr-30-11-22.jpg,30/11/2022
60,T-62M,Tanks,destroyed,14,5,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/j2S2L1rj,1983,https://i.postimg.cc/j2S2L1rj/1064-unkn-t62-destr-14-05-24.jpg,14/5/2024
61,T-62M,Tanks,destroyed,2,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/25gfXBQ5,1983,https://i.postimg.cc/25gfXBQ5/1051-T-62-M-destr-02-06-24.jpg,2/6/2024
62,T-62M,Tanks,destroyed,2,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/PJjndsFs,1983,https://i.postimg.cc/PJjndsFs/1052-T-62-M-destr-02-06-24.jpg,2/6/2024
63,T-62M,Tanks,destroyed,8,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/6Q3S3HG4,1983,https://i.postimg.cc/6Q3S3HG4/1077-T-62-M-destr-08-06-24.jpg,8/6/2024
64,T-62M,Tanks,destroyed,12,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/LXFkb3Jk,1983,https://i.postimg.cc/LXFkb3Jk/1062-T-62-M-destr-12-06-24.jpg,12/6/2024
65,T-62M,Tanks,destroyed,15,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/d1nw7hWn,1983,https://i.postimg.cc/d1nw7hWn/1002-T-62-M-destr-15-06-24.jpg,15/6/2024
66,T-62M,Tanks,destroyed,1,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/sx8NkBbd,1983,https://i.postimg.cc/sx8NkBbd/1101-t62m-destr-01-07-24.jpg,1/7/2024
67,T-62M,Tanks,destroyed,11,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/C1PgyV8J,1983,https://i.postimg.cc/C1PgyV8J/1100-t62m-destr-11-07-24.jpg,11/7/2024
68,T-62M,Tanks,destroyed,7,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/kgwGMGkv,1983,https://i.postimg.cc/kgwGMGkv/1016-T-62-M-destr-07-07-24.jpg,7/7/2024
69,T-62M,Tanks,destroyed,29,2,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/c4QwLvFh,1983,https://i.postimg.cc/c4QwLvFh/1057-T-62-M-destr-29-02-24.jpg,29/2/2024
70,T-62M,Tanks,destroyed,13,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/Bbf3mFRh,1983,https://i.postimg.cc/Bbf3mFRh/1002-T-62-M-destr-13-07-24.jpg,13/7/2024
71,T-62M,Tanks,destroyed,19,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/hv7j6SPq,1983,https://i.postimg.cc/hv7j6SPq/1027-T-62-M-destr-19-07-24.jpg,19/7/2024
72,T-62M,Tanks,destroyed,17,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/76hb13Fh,1983,https://i.postimg.cc/76hb13Fh/1019-t62m-destr-17-07-24.jpg,17/7/2024
73,T-62M,Tanks,destroyed,23,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/4xZ1v2Kz,1983,https://i.postimg.cc/4xZ1v2Kz/1100-t62m-destr-23-07-24.jpg,23/7/2024
74,T-62M,Tanks,destroyed,23,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/NFkZb9xD,1983,https://i.postimg.cc/NFkZb9xD/1010-T-62-M-destr-23-07-24.jpg,23/7/2024
75,T-62M,Tanks,destroyed,23,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/BZFSHmfZ,1983,https://i.postimg.cc/BZFSHmfZ/1009-T-62-M-destr-23-07-24.jpg,23/7/2024
76,T-62M,Tanks,destroyed,23,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/KvyZNtmP,1983,https://i.postimg.cc/KvyZNtmP/1015-T-62-M-destr-23-07-24.jpg,23/7/2024
77,T-62M,Tanks,destroyed,5,1,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/Vs76jzB7,1983,https://i.postimg.cc/Vs76jzB7/1059-T-62-M-destr-05-01-25.jpg,5/1/2025
